страна;столица;население;валюта;флаг
Австралия;Канберра;25.627.280 (2020);доллар тувалу (AUD);australia.png
Австрия;Вена;8.902.600 (2020);евро (EUR);austria.png
Азербайджан;Баку;10.067.108 (2020);азербайджанский манат (AZN);azerbaijan.png
Албания;Тирана;2.862.427 (2019);албанский лек (ALL);albania.png
Алжир;Алжир;43.000.000 (2019);алжирский динар (DZD);dz.png
Ангола;Луанда;31.127.674 (2020);ангольская кванза (AOA);angola.png
Андорра;Андорра-ла-Велья;77.543 (2019);евро (EUR);andorra.png
Антигуа и Барбуда;Сент-Джонс;96.453 (2019);восточно-карибский доллар (XCD);antigua-barbuda.png
Аргентина;Буэнос-Айрес;44.938.712 (2019);аргентинское песо (ARS);argentina.png
Армения;Ереван;2.957.500 (2019);армянский драм (AMD);armenia.png
Афганистан;Кабул;32.225.560 (2019);афганский афгани (AFN);afganistan.png
Багамские острова;Нассау;385.340 (2019);багамский доллар (BSD);bahamas.png
Бангладеш;Дакка;168.163.758 (2020);бангладешская така (BDT);bangladesh.png
Барбадос;Бриджтаун;287.025 (2019);барбадосский доллар (BBD);barbados.png
Бахрейн;Манама;1.543.300 (2019);бахрейнский динар (BHD);bahrejn.png
Белиз;Бельмопан;408.487 (2019);белизский доллар (BZD);bz.png
Беларусь;Минск;9.413.446 (2019);белорусский рубль (BYR);belarus.png
Бельгия;Брюссель;11.522.169 (2019);евро (EUR);belgium.png
Бенин;Порто-Ново;11.733.059 (2019);франк кфа bceao (XOF);benin.png
Болгария;София;7.000.039 (2018);болгарский лев (BGN);bulgaria.png
Боливия;Сукре;11.469.896 (2019);боливийский боливиано (BOB);bolivia.png
Босния и Герцеговина;Сараево;3.301.000 (2019);конвертируемая марка (BAM);bosnia-hercegovina.png
Ботсвана;Габороне;2.338.851 (2019);ботсванская пула (BWP);botswana.png
Бразилия;Бразилиа;211.173.432 (2020);бразильский реал (BRL);brazil.png
Бруней;Бандар-Сери-Бегаван;442.400 (2018);брунейский доллар (BND);brunei.png
Буркина-Фасо;Уагадугу;20.870.060 (2019);франк кфа bceao (XOF);burkina-faso.png
Бурунди;Бужумбура;10.953.317 (2019);бурундийский франк (BIF);burundi.png
Бутан;Тхимпху;741.672 (2019);бутанский нгултрум (BTN);butan.png
Вануату;Порт-Вила;304.500 (2018);вануатский вату (VUV);vu.png
Ватикан;Ватикан;799 (2019);евро (EUR);vatican.png
Великобритания;Лондон;66.435.600 (2018);фунт стерлингов (GBP);great-britain.png
Венгрия;Будапешт;9.772.756 (2019);венгерский форинт (HUF);hungary.png
Венесуэла;Каракас;32.219.521 (2019);венесуэльский боливар (VEF);ve.png
Восточный Тимор;Дили;1.387.149 (2019);доллар сша (USD);timor-leste.png
Вьетнам;Ханой;96.208.984 (2019);вьетнамский донг (VND);vjetnam.png
Габон;Либревиль;2.172.579 (2019);франк кфа beac (XAF);gabon.png
Гаити;Порт-о-Пренс;11.577.779 (2019);гаитянский гурд (HTG);ht.png
Гайана;Джорджтаун;782.766 (2019);гайанский доллар (GYD);guyana.png
Гамбия;Банжул;2.347.706 (2019);гамбийский даласи (GMD);gambia.png
Гана;Аккра;30.280.811 (2019);ганский седи (GHS);ghana.png
Гватемала;Гватемала;16.604.026 (2019);гватемальский кетсаль (GTQ);guatemala.png
Гвинея;Конакри;12.218.357 (2019);гвинейский франк (GNF);guinea.png
Гвинея-Бисау;Бисау;1.604.528 (2019);франк кфа bceao (XOF);guinea-bissau.png
Германия;Берлин;83.149.300 (2019);евро (EUR);germany.png
Гондурас;Тегусигальпа;9.158.345 (2019);гондурасская лемпира (HNL);honduras.png
Гренада;Сент-Джорджес;112.003 (2019);восточно-карибский доллар (XCD);grenada.png
Греция;Афины;10.724.599 (2019);евро (EUR);greece.png
Грузия;Тбилиси;3.723.464 (2019);грузинский лари (GEL);georgia.png
Дания;Копенгаген;5.822.763 (2020);датская крона (DKK);denmark.png
Демократическая Республика Конго;Киншаса;86.790.567 (2019);конголезский франк (CDF);dr-congo.png
Джибути;Джибути;1.078.373 (2019);франк джибути (DJF);djibouti.png
Доминиканская Республика;Санто-Доминго;10.358.320 (2019);доминиканское песо (DOP);do.png
Доминика;Розо;71.808 (2019);восточно-карибский доллар (XCD);dominica.png
Египет;Каир;100.052.943 (2020);египетский фунт (EGP);egypt.png
Замбия;Лусака;17.381.168 (2019);замбийская квача (ZMW);zambia.png
Западная Сахара;Эль-Аюн;567.402 (2019);марокканский дирхам (MAD);western-sahara.png
Зимбабве;Хараре;15.159.624 (2019);доллар сша (USD);zimbabwe.png
Израиль;Иерусалим;9.164.160 (2020);новый израильский шекель (ILS);israel.png
Индия;Нью-Дели;1.359.072.550 (2020);индийская рупия (INR);india.png
Индонезия;Джакарта;266.911.900 (2019);индонезийская рупия (IDR);indonesia.png
Иордания;Амман;10.622.608 (2020);иорданский динар (JOD);jordan.png
Ирак;Багдад;39.127.900 (2019);иракский динар (IQD);iraq.png
Иран;Тегеран;83.230.120 (2020);иранский риал (IRR);iran.png
Ирландия;Дублин;4.921.500 (2019);евро (EUR);ireland.png
Исландия;Рейкьявик;364.260 (2019);исландская крона (ISK);iceland.png
Испания;Мадрид;47.100.396 (2019);евро (EUR);spain.png
Италия;Рим;60.247.214 (2019);евро (EUR);italy.png
Йемен;Сана;29.161.922 (2019);йеменский риал (YER);yemen.png
Кабо-Верде;Прая;550.483 (2019);эскудо кабо-верде (CVE);cape-verde.png
Казахстан;Астана;18.651.680 (2020);казахстанский тенге (KZT);kazakhstan.png
Камбоджа;Пномпень;15.288.489 (2019);камбоджийский риель (KHR);kh.png
Камерун;Яунде;25.876.000 (2019);франк кфа beac (XAF);cameroon.png
Канада;Оттава;37.935.814 (2020);канадский доллар (CAD);canada.png
Катар;Доха;2.747.282 (2019);катарский риал (QAR);qatar.png
Кения;Найроби;47.564.296 (2019);кенийский шиллинг (KES);kenya.png
Кипр;Никосия;875.900 (2018);евро (EUR);cyprus.png
Киргизия;Бишкек;6.490.300 (2019);киргизский сом (KGS);kirgisia.png
Кирибати;Южная Тарава;120.100 (2018);доллар тувалу (AUD);kiribati.png
Китай;Пекин;1.401.492.920 (2020);китайский юань (CNY);china.png
КНДР;Пхеньян;25.450.000 (2019);вона кндр (KPW);north-korea.png
Колумбия;Богота;49.395.678 (2019);колумбийское песо (COP);colombia.png
Коморские острова;Морони;873.724 (2019);франк комор (KMF);km.png
Косово;Приштина;1.810.463 (2020);евро (EUR);xk.png
Коста-Рика;Сан-Хосе;5.058.007 (2019);костариканский колон (CRC);costa-rica.png
Кот-д’Ивуар;Ямусукро;25.823.071 (2019);франк кфа bceao (XOF);cote-divoire.png
Куба;Гавана;11.209.628 (2018);кубинское песо (CUC);cuba.png
Кувейт;Эль-Кувейт;4.420.110 (2019);кувейтский динар (KWD);kuwait.png
Лаос;Вьентьян;7.123.205 (2019);лаосский кип (LAK);laos.png
Латвия;Рига;1.906.800 (2020);евро (EUR);latvia.png
Лесото;Масеру;2.007.201 (2016);лоти лесото (LSL);lesotho.png
Либерия;Монровия;4.475.353 (2019);либерийский доллар (LRD);liberia.png
Ливан;Бейрут;6.855.713 (2019);ливанский фунт (LBP);lebanon.png
Ливия;Триполи;6.777.452 (2019);ливийский динар (LYD);libya.png
Литва;Вильнюс;2.793.350 (2020);литовский лит (LTL);lithuania.png
Лихтенштейн;Вадуц;38.557 (2019);швейцарский франк (CHF);liechtenstein.png
Люксембург;Люксембург;613.894 (2019);евро (EUR);luxembourg.png
Маврикий;Порт-Луи;1.265.985 (2019);маврикийская рупия (MUR);mu.png
Мавритания;Нуакшот;4.077.347 (2019);мавританская угия (MRO);mr.png
Мадагаскар;Антананариву;25.680.342 (2018);малагасийский ариари (MGA);madagascar.png
Малави;Лилонгве;17.563.749 (2018);малавийская квача (MWK);malawi.png
Малайзия;Путраджайя;32.700.760 (2020);малайзийский ринггит (MYR);my.png
Мали;Бамако;19.973.000 (2019);франк кфа bceao (XOF);mali.png
Мальдивы;Мале;374.775 (2018);мальдивская руфия (MVR);maldives.png
Мальта;Валлетта;493.559 (2018);евро (EUR);mt.png
Марокко;Рабат;35.821.024 (2020);марокканский дирхам (MAD);morocco.png
Маршалловы острова;Маджуро;55.500 (2018);доллар сша (USD);marshall-islands.png
Мексика;Мехико;126.577.691 (2019);мексиканское песо (MXN);mx.png
Мозамбик;Мапуту;28.571.310 (2019);мозамбикский метикал (MZN);mozambique.png
Молдавия;Кишинёв;2.681.735 (2019);молдавский лей (MDL);moldova.png
Монако;Монако;38.300 (2018);евро (EUR);monaco.png
Монголия;Улан-Батор;3.304.526 (2020);монгольский тугрик (MNT);mongolia.png
Мьянма;Найпьидо;54.339.766 (2019);мьянманский кьят (MMK);myanmar.png
Намибия;Виндхук;2.458.936 (2019);доллар намибии (NAD);namibia.png
Науру;Ярен;11.000 (2018);доллар тувалу (AUD);nauru.png
