prompt_text;option1;option2;option3;option4;option5;option6;correct;image_url
Угадайте страну по флагу;Эквадор;Танзания;Антигуа и Барбуда;Камерун;Австралия;Ватикан;5;http://localhost:8000/tg/game/media/59578028-4601-476c-b69b-3fb1a4e43d3a.png
Угадайте страну по флагу;Эквадор;Сальвадор;Австрия;Сирия;Украина;Бразилия;3;http://localhost:8000/tg/game/media/1dbe48ce-d023-44a5-a6e8-1c98c6d25520.png
Угадайте страну по флагу;Соломоновы острова;Азербайджан;Иордания;Антигуа и Барбуда;Саудовская Аравия;Парагвай;2;http://localhost:8000/tg/game/media/4654e569-70c8-45ae-abac-3c09a1324b9c.png
Угадайте страну по флагу;Гвинея;Сингапур;Канада;Австрия;Эфиопия;Албания;6;http://localhost:8000/tg/game/media/03d1ce56-5101-481f-9310-5b9ede2aef4a.png
Угадайте страну по флагу;Бруней;Алжир;ЮАР;Лаос;Зимбабве;Бутан;2;http://localhost:8000/tg/game/media/b58653dc-1f68-4320-8fad-32f3135c1321.png
Угадайте страну по флагу;Венесуэла;Швейцария;Ангола;Никарагуа;Бангладеш;Руанда;3;http://localhost:8000/tg/game/media/9f208799-8fb3-4317-8a26-d9682fe14d76.png
Угадайте страну по флагу;Бангладеш;Бенин;Сент-Китс и Невис;Хорватия;Джибути;Андорра;6;http://localhost:8000/tg/game/media/1e650b49-d806-40fc-917f-dcfd3aeef840.png
Угадайте страну по флагу;Нидерланды;Бурунди;Тайвань;Антигуа и Барбуда;Мадагаскар;Канада;4;http://localhost:8000/tg/game/media/2df86fa1-0d72-49d0-8db6-2b3e3a7a5484.png
Угадайте страну по флагу;Уругвай;Аргентина;Франция;Казахстан;Тонга;Уганда;2;http://localhost:8000/tg/game/media/96413af0-bcc8-48f3-bafa-df6ab02c53e7.png
Угадайте страну по флагу;Гвинея-Бисау;Камбоджа;Мадагаскар;Ниуэ;Танзания;Армения;6;http://localhost:8000/tg/game/media/86b7416a-b834-405b-8475-2e3ee564ff05.png
Угадайте страну по флагу;Япония;Аргентина;Южный Судан;Афганистан;Индонезия;Белиз;4;http://localhost:8000/tg/game/media/6c250135-229f-427d-a1f2-2c3928b0c189.png
Угадайте страну по флагу;Коморские острова;Черногория;Сенегал;Тувалу;Багамские острова;Западная Сахара;5;http://localhost:8000/tg/game/media/ea629397-1e82-43cd-a65a-5db22b320e5e.png
Угадайте страну по флагу;Гаити;Исландия;Бангладеш;Саудовская Аравия;Руанда;Экваториальная Гвинея;3;http://localhost:8000/tg/game/media/f41b0f5a-6285-4c09-b1b0-01e93babd4d2.png
Угадайте страну по флагу;Израиль;Гаити;Перу;Палестина;Барбадос;Литва;5;http://localhost:8000/tg/game/media/e015bda9-8584-45d7-bac3-32e6082c2bd2.png
Угадайте страну по флагу;Уругвай;Монако;Словакия;Бахрейн;Малави;Бельгия;4;http://localhost:8000/tg/game/media/7cc18060-18b5-4cf6-ae58-c6fd4e3b61c9.png
Угадайте страну по флагу;Сан-Марино;Азербайджан;Чехия;Уругвай;Великобритания;Белиз;6;http://localhost:8000/tg/game/media/c578f2cf-3588-4907-9353-f792e10e953d.png
Угадайте страну по флагу;Гвинея;Беларусь;Нидерланды;Киргизия;Намибия;Ватикан;2;http://localhost:8000/tg/game/media/7d75fa70-db58-4ecd-9567-26a398e0313e.png
Угадайте страну по флагу;Сомали;Парагвай;Таджикистан;Танзания;Бельгия;Кирибати;5;http://localhost:8000/tg/game/media/3b28bd24-e061-4899-bb37-bab9d8d85fbe.png
Угадайте страну по флагу;Алжир;Ватикан;Словения;Коста-Рика;Бенин;Палау;5;http://localhost:8000/tg/game/media/90be7977-d9e6-48a8-adb3-9669cde854b6.png
Угадайте страну по флагу;Ботсвана;Швеция;Болгария;Босния и Герцеговина;Пакистан;Сенегал;3;http://localhost:8000/tg/game/media/e41360bc-d1a0-4b05-aaac-dbf5c0b77a36.png
Угадайте страну по флагу;Самоа;Боливия;Кабо-Верде;Сомали;Германия;Республика Македония;2;http://localhost:8000/tg/game/media/4292b3fd-10b1-4d3a-bf84-06d8253486b2.png
Угадайте страну по флагу;Уганда;Тринидад и Тобаго;Босния и Герцеговина;Мальта;Маврикий;Науру;3;http://localhost:8000/tg/game/media/f5f601ae-6aca-42f0-a7a4-cd4721859495.png
Угадайте страну по флагу;Сингапур;Ангола;Беларусь;Ботсвана;Сан-Марино;Лаос;4;http://localhost:8000/tg/game/media/8309cdcf-549e-4f45-b701-6df35c085598.png
Угадайте страну по флагу;Таиланд;Индонезия;Бельгия;Бразилия;Белиз;ЦАР;4;http://localhost:8000/tg/game/media/315b398a-4e1b-4159-8e10-db64d5e1707a.png
Угадайте страну по флагу;Пакистан;Бруней;Канада;Западная Сахара;Румыния;Уганда;2;http://localhost:8000/tg/game/media/44b77a0d-b498-4abf-bbf9-a5f7f921a172.png
Угадайте страну по флагу;Буркина-Фасо;Маршалловы острова;Демократическая Республика Конго;Мьянма;Тунис;Бруней;1;http://localhost:8000/tg/game/media/79415ed0-61e4-4cc1-a54b-767cbf79aa18.png
Угадайте страну по флагу;Тувалу;Белиз;Бурунди;Узбекистан;Тонга;Буркина-Фасо;3;http://localhost:8000/tg/game/media/fef38299-3c1a-4d33-9717-595078141dc8.png
Угадайте страну по флагу;Бутан;Монако;Демократическая Республика Конго;Гаити;Нигер;Руанда;1;http://localhost:8000/tg/game/media/db753449-5b38-4b10-a1e8-207e90b5965b.png
Угадайте страну по флагу;Самоа;Буркина-Фасо;Бангладеш;Вануату;Непал;Тринидад и Тобаго;4;http://localhost:8000/tg/game/media/fa4aab37-4e01-4535-82ae-1ac03c297da6.png
Угадайте страну по флагу;Острова Кука;Мальта;Ватикан;Западная Сахара;Пакистан;Маршалловы острова;3;http://localhost:8000/tg/game/media/e2a4bf94-0d85-448c-a847-94bb323edaf6.png
Угадайте страну по флагу;Нидерланды;Кения;Кабо-Верде;Монако;Финляндия;Великобритания;6;http://localhost:8000/tg/game/media/fb8fac03-1990-467b-b7ab-1efd2edf13af.png
Угадайте страну по флагу;Зимбабве;Сент-Люсия;Венгрия;Бахрейн;Киргизия;Шри-Ланка;3;http://localhost:8000/tg/game/media/1339456e-5d5a-46d0-a106-8b50f53f0465.png
Угадайте страну по флагу;Оман;Папуа — Новая Гвинея;Республика Македония;Венесуэла;Гвинея;Сербия;4;http://localhost:8000/tg/game/media/068d9781-fdcd-497b-9975-98b2177cb2eb.png
Угадайте страну по флагу;Ирак;Восточный Тимор;Узбекистан;Бельгия;Марокко;Словакия;2;http://localhost:8000/tg/game/media/36922ad0-7b85-4e09-9683-6e8f7feb2cb8.png
Угадайте страну по флагу;Тунис;США;Боливия;Молдавия;Вьетнам;Сербия;5;http://localhost:8000/tg/game/media/5a3cda3e-117e-40b6-823f-98851ba49189.png
Угадайте страну по флагу;Уганда;Габон;Кабо-Верде;Коморские острова;Черногория;Иран;2;http://localhost:8000/tg/game/media/128720c7-eb7e-487e-ac2d-b1f0756a0ad1.png
Угадайте страну по флагу;Бенин;Никарагуа;Азербайджан;Гаити;Королевство Эсватини;Сьерра-Леоне;4;http://localhost:8000/tg/game/media/d885128d-a4c6-47a9-9e64-9400f03eb313.png
Угадайте страну по флагу;Либерия;Гайана;Парагвай;Бельгия;Восточный Тимор;Кабо-Верде;2;http://localhost:8000/tg/game/media/10cb75ca-8bb3-4974-b30a-8b18844af501.png
Угадайте страну по флагу;Хорватия;Гамбия;Судан;Китай;Сальвадор;Тувалу;2;http://localhost:8000/tg/game/media/bf0c9ee3-32f0-4b70-9d7e-3f5cb8582e96.png
Угадайте страну по флагу;Бутан;Вьетнам;Гана;Ватикан;Кабо-Верде;Экваториальная Гвинея;3;http://localhost:8000/tg/game/media/84b35eb2-798c-4953-a995-8e9d74be83a4.png
Угадайте страну по флагу;Гватемала;Черногория;Латвия;Федеративные Штаты Микронезии;Тайвань;Египет;1;http://localhost:8000/tg/game/media/3b76a61e-718a-40d7-bb98-e7373d5bbbba.png
Угадайте страну по флагу;Гвинея;Камерун;Багамские острова;Тайвань;Монако;Бразилия;1;http://localhost:8000/tg/game/media/af8e9646-b700-4b03-8684-55491650dd49.png
